Fuel,VEHICLE_SEGMENT,liabilities,Customer_Income group
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Diesel,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,C,,0- $25K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
Petrol,B,,$25-$70K
